Specific ID,Plant Id,"Combined Heat And
Power Plant",Nuclear Unit Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,Reserved,NAICS Code,EIA Sector Number,Sector Name,"Reported
Prime Mover","Reported
Fuel Type Code",AER Fuel Type Code,Reserved,Reserved,"Physical
Unit Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December",Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours),YEAR
84,88,N,,Ashokan,New York Power Authority,15296,NY,MAT,NPCC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9820,9161,10411,9724,10318,10419,10812,10579,9691,9662,10668,10816,9820,9161,10411,9724,10318,10419,10812,10579,9691,9662,10668,10816,1066,994,1130,1055,1120,1131,1174,1148,1052,1049,1158,1174,0,0,122081,122081,13251,2017
570,579,N,,Central Hudson High Falls,Central Hudson Gas & Elec Corp,3249,NY,MAT,NPCC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122,1979,2249,2101,2229,2251,2336,2286,2094,2088,2305,2337,2122,1979,2249,2101,2229,2251,2336,2286,2094,2088,2305,2337,230,215,244,228,242,244,254,248,227,227,250,254,0,0,26377,26377,2863,2017
640,625,N,,Upper Mechanicville,New York State Elec & Gas Corp,13511,NY,MAT,NPCC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53184,49612,56386,52661,55882,56430,58558,57292,52487,52327,57774,58578,53184,49612,56386,52661,55882,56430,58558,57292,52487,52327,57774,58578,5773,5385,6120,5716,6066,6125,6356,6219,5697,5680,6271,6358,0,0,661171,661171,71765,2017
816,808,N,,Jarvis (Hinckley),New York Power Authority,15296,NY,MAT,NPCC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27599,25745,29260,27327,28999,29283,30387,29731,27237,27154,29981,30398,27599,25745,29260,27327,28999,29283,30387,29731,27237,27154,29981,30398,2996,2794,3176,2966,3148,3178,3298,3227,2956,2947,3254,3299,0,0,343101,343101,37241,2017
2234,2480,N,,Danskammer Generating Station,Danskammer Energy,58971,NY,MAT,NPCC,,22,2,NAICS-22 Non-Cogen,IC,DFO,DFO,,,barrels,16,15,9,3,3,11,3,6,4,3,4,183,16,15,9,3,3,11,3,6,4,3,4,183,6,6,6,6,6,6,6,6,6,6,6,6,94,88,53,18,18,65,18,35,24,18,24,1076,94,88,53,18,18,65,18,35,24,18,24,1076,0,0,0,0,0,0,0,0,0,0,0,0,260,260,1531,1531,0,2017
2235,2480,N,,Danskammer Generating Station,Danskammer Energy,58971,NY,MAT,NPCC,,22,2,NAICS-22 Non-Cogen,ST,NG,NG,,,mcf,12385,11500,31522,0,0,46817,0,0,0,0,0,0,12385,11500,31522,0,0,46817,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,12633,11730,32152,0,0,47753,0,0,0,0,0,0,12633,11730,32152,0,0,47753,0,0,0,0,0,0,901,968,2966,0,0,4113,0,0,0,0,0,0,102224,102224,104268,104268,8948,2017
2236,2480,N,,Danskammer Generating Station,Danskammer Energy,58971,NY,MAT,NPCC,,22,2,NAICS-22 Non-Cogen,ST,RFO,RFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
2237,2481,N,,Dashville,Central Hudson Gas & Elec Corp,3249,NY,MAT,NPCC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10589,9877,11226,10485,11126,11235,11659,11407,10450,10418,11502,11662,10589,9877,11226,10485,11126,11235,11659,11407,10450,10418,11502,11662,1149,1072,1219,1138,1208,1219,1265,1238,1134,1131,1249,1266,0,0,131636,131636,14288,2017
2238,2483,N,,Neversink,New York Power Authority,15296,NY,MAT,NPCC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20316,18952,21539,20116,21347,21556,22369,21885,20050,19989,22069,22377,20316,18952,21539,20116,21347,21556,22369,21885,20050,19989,22069,22377,2205,2057,2338,2183,2317,2340,2428,2375,2176,2170,2395,2429,0,0,252565,252565,27414,2017
2239,2485,N,,South Cairo,Central Hudson Gas & Elec Corp,3249,NY,MAT,NPCC,,22,1,Electric Utility,GT,KER,WOO,,,barrels,11,10,6,2,2,7,2,4,2,2,2,117,11,10,6,2,2,7,2,4,2,2,2,117,6,6,6,6,6,6,6,6,6,6,6,6,62,56,34,11,11,39,11,22,11,11,11,656,62,56,34,11,11,39,11,22,11,11,11,656,3,3,2,1,1,2,1,1,1,1,1,42,167,167,935,935,59,2017
2240,2486,N,,Sturgeon,Central Hudson Gas & Elec Corp,3249,NY,MAT,NPCC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25346,23644,26873,25097,26632,26894,27908,27305,25015,24938,27534,27917,25346,23644,26873,25097,26632,26894,27908,27305,25015,24938,27534,27917,2751,2566,2917,2724,2891,2919,3029,2964,2715,2707,2989,3030,0,0,315103,315103,34202,2017
2241,2487,N,,West Coxsackie,Central Hudson Gas & Elec Corp,3249,NY,MAT,NPCC,,22,1,Electric Utility,GT,KER,WOO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
