Specific ID,Plant Id,"Combined Heat And
Power Plant",Nuclear Unit Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,Reserved,NAICS Code,EIA Sector Number,Sector Name,"Reported
Prime Mover","Reported
Fuel Type Code",AER Fuel Type Code,Reserved,Reserved,"Physical
Unit Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December",Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours),YEAR
11,9,N,,Copper,El Paso Electric Co,5701,TX,WSC,WECC,,22,1,Electric Utility,GT,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
12,9,N,,Copper,El Paso Electric Co,5701,TX,WSC,WECC,,22,1,Electric Utility,GT,NG,NG,,,mcf,22561,19975,23674,23606,26970,34973,43428,40576,29832,26310,21863,28217,22561,19975,23674,23606,26970,34973,43428,40576,29832,26310,21863,28217,1,1,1,1,1,1,1,1,1,1,1,1,23554,20854,24716,24645,28157,36512,45339,42361,31145,27468,22825,29459,23554,20854,24716,24645,28157,36512,45339,42361,31145,27468,22825,29459,1248,1105,1309,1306,1492,1934,2402,2244,1650,1455,1209,1560,341985,341985,357035,357035,18913,2017
127,127,N,,Oklaunion,Public Service Co of Oklahoma,15474,TX,WSC,TRE,,22,1,Electric Utility,ST,DFO,DFO,,,barrels,1215,1054,173,0,2681,532,549,770,2301,0,1157,2244,1215,1054,173,0,2681,532,549,770,2301,0,1157,2244,6,6,6,0,6,6,6,6,6,0,6,6,7124,6180,1014,0,15719,3060,3157,4428,13233,0,6653,12905,7124,6180,1014,0,15719,3060,3157,4428,13233,0,6653,12905,654,535,95,0,1384,280,288,399,1176,0,620,1237,12676,12676,73473,73473,6668,2017
128,127,N,,Oklaunion,Public Service Co of Oklahoma,15474,TX,WSC,TRE,,22,1,Electric Utility,ST,SUB,COL,,,short tons,102940,19398,5241,0,88699,199277,173674,155648,104409,0,25608,173333,102940,19398,5241,0,88699,199277,173674,155648,104409,0,25608,173333,17,18,18,0,18,17,17,17,17,0,17,17,1797332,340706,92053,0,1557909,3434738,3023664,2692399,1817134,0,446347,2993808,1797332,340706,92053,0,1557909,3434738,3023664,2692399,1817134,0,446347,2993808,164926,29523,8606,0,137147,314311,275421,242422,161533,0,41628,287018,1048227,1048227,18196090,18196090,1662535,2017
271,298,N,,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,LIG,COL,,,short tons,50706,8415,204402,124188,133010,106676,128013,177224,60964,0,37741,30655,50706,8415,204402,124188,133010,106676,128013,177224,60964,0,37741,30655,14,14,14,14,14,14,14,14,14,0,14,14,691528,114764,2787634,1693676,1813990,1454847,1745841,2416981,831427,0,514712,418073,691528,114764,2787634,1693676,1813990,1454847,1745841,2416981,831427,0,514712,418073,62848,9918,265781,154671,166162,132032,155443,225487,77562,0,46700,37694,1061994,1061994,14483473,14483473,1334299,2017
272,298,N,,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,NG,NG,,,mcf,96224,91921,86295,98239,134888,64698,51128,47554,3097,55149,24989,39115,96224,91921,86295,98239,134888,64698,51128,47554,3097,55149,24989,39115,1,1,1,1,1,1,1,1,1,1,1,1,97571,93392,87503,99811,137046,65992,52406,48315,3168,55700,25289,39584,97571,93392,87503,99811,137046,65992,52406,48315,3168,55700,25289,39584,8868,8071,8343,9115,12553,5989,4666,4507,296,5109,2294,3569,793297,793297,805777,805777,73380,2017
273,298,N,,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,PC,PC,,,short tons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
274,298,N,,Limestone,NRG Texas Power LLC,54888,TX,WSC,TRE,,22,2,NAICS-22 Non-Cogen,ST,SUB,COL,,,short tons,409861,207652,289447,251227,406771,431356,439788,444153,641305,490956,463935,496442,409861,207652,289447,251227,406771,431356,439788,444153,641305,490956,463935,496442,17,17,17,17,17,17,17,17,17,17,17,17,7030346,3570161,4987172,4265081,6959852,7311053,7564793,7639876,10907957,8314340,8055767,8659934,7030346,3570161,4987172,4265081,6959852,7311053,7564793,7639876,10907957,8314340,8055767,8659934,638942,308530,475491,389500,637524,663502,673540,712747,1017578,762635,730903,780797,4972893,4972893,85266332,85266332,7791687,2017
810,791,N,,Canyon,Guadalupe Blanco River Authority,7751,TX,WSC,TRE,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10964,10307,9940,7994,9203,10522,12193,9222,13153,10821,9434,10522,10964,10307,9940,7994,9203,10522,12193,9222,13153,10821,9434,10522,1190,1119,1079,868,999,1142,1323,1001,1428,1175,1024,1142,0,0,124275,124275,13489,2017
814,794,N,,Lewisville,City of Garland - (TX),6958,TX,WSC,TRE,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6654,6255,6032,4851,5585,6386,7399,5597,7982,6567,5725,6386,6654,6255,6032,4851,5585,6386,7399,5597,7982,6567,5725,6386,722,679,655,527,606,693,803,607,866,713,621,693,0,0,75419,75419,8186,2017
