Specific ID,Plant Id,"Combined Heat And
Power Plant",Nuclear Unit Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,Reserved,NAICS Code,EIA Sector Number,Sector Name,"Reported
Prime Mover","Reported
Fuel Type Code",AER Fuel Type Code,Reserved,Reserved,"Physical
Unit Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December",Total Fuel Consumption Quantity,Electric Fuel Consumption Quantity,Total Fuel Consumption MMBtu,Elec Fuel Consumption MMBtu,Net Generation (Megawatthours),YEAR
155,159,N,,Lake Creek Dam,Heber Light & Power Company,8366,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3862,3340,4453,4342,4391,4610,4936,4428,3508,3379,3689,3725,3862,3340,4453,4342,4391,4610,4936,4428,3508,3379,3689,3725,419,363,483,471,477,500,536,481,381,367,400,404,0,0,48663,48663,5282,2017
275,299,N,,Blundell,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,ST,GEO,GEO,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186807,179272,200155,192358,176895,138334,186599,183968,167484,183432,176926,322110,186807,179272,200155,192358,176895,138334,186599,183968,167484,183432,176926,322110,20276,19459,21725,20879,19201,15015,20254,19968,18179,19910,19204,34963,0,0,2294340,2294340,249033,2017
897,925,N,,Hydro Plant No 3,City of Ephraim - (UT),5932,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554,1344,1791,1747,1767,1855,1986,1781,1411,1359,1484,1499,1554,1344,1791,1747,1767,1855,1986,1781,1411,1359,1484,1499,169,146,194,190,192,201,216,193,153,148,161,163,0,0,19578,19578,2125,2017
1012,1020,N,,Manti Lower,City of Manti - (UT),11588,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,1272,1696,1654,1673,1756,1880,1687,1336,1287,1405,1419,1471,1272,1696,1654,1673,1756,1880,1687,1336,1287,1405,1419,160,138,184,180,182,191,204,183,145,140,153,154,0,0,18536,18536,2012,2017
3007,3643,N,,Upper Beaver,Beaver City Corporation,1434,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7874,6810,9077,8852,8951,9399,10062,9027,7151,6888,7521,7594,7874,6810,9077,8852,8951,9399,10062,9027,7151,6888,7521,7594,855,739,985,961,972,1020,1092,980,776,748,816,824,0,0,99206,99206,10768,2017
3008,3646,N,,Cutler Hydro,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107937,93352,124428,121342,122708,128839,137930,123747,98031,94419,103096,104093,107937,93352,124428,121342,122708,128839,137930,123747,98031,94419,103096,104093,11716,10133,13506,13171,13319,13985,14971,13432,10640,10248,11190,11298,0,0,1359922,1359922,147609,2017
3009,3648,N,,Gadsby,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,GT,NG,NG,,,mcf,26193,62800,82555,58571,106379,61276,111652,141921,94914,50154,17913,8383,26193,62800,82555,58571,106379,61276,111652,141921,94914,50154,17913,8383,1,1,1,1,1,1,1,1,1,1,1,1,27607,65626,86270,61382,110741,64340,116118,147598,99090,51809,18647,8752,27607,65626,86270,61382,110741,64340,116118,147598,99090,51809,18647,8752,1233,4600,6326,4084,7880,4778,9548,12561,7836,3739,1230,345,822711,822711,857980,857980,64160,2017
3010,3648,N,,Gadsby,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,ST,NG,NG,,,mcf,0,0,0,0,0,47997,225637,238058,95063,0,0,0,0,0,0,0,0,47997,225637,238058,95063,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,50397,236242,247580,99246,0,0,0,0,0,0,0,0,50397,236242,247580,99246,0,0,0,-412,-343,-364,-378,-376,1175,11255,14000,5330,-399,-394,-440,606755,606755,633465,633465,28654,2017
3011,3651,N,,Granite,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5467,4728,6302,6146,6215,6525,6986,6267,4965,4782,5222,5272,5467,4728,6302,6146,6215,6525,6986,6267,4965,4782,5222,5272,593,513,684,667,675,708,758,680,539,519,567,572,0,0,68877,68877,7476,2017
3012,3655,N,,Olmstead,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
3013,3656,N,,Pioneer,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19841,17160,22873,22306,22557,23684,25355,22748,18020,17356,18951,19135,19841,17160,22873,22306,22557,23684,25355,22748,18020,17356,18951,19135,2154,1863,2483,2421,2448,2571,2752,2469,1956,1884,2057,2077,0,0,249986,249986,27134,2017
3014,3658,N,,Snake Creek,Heber Light & Power Company,8366,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932,2536,3380,3296,3334,3500,3747,3362,2663,2565,2801,2828,2932,2536,3380,3296,3334,3500,3747,3362,2663,2565,2801,2828,318,275,367,358,362,380,407,365,289,278,304,307,0,0,36944,36944,4010,2017
3015,3659,N,,Stairs,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4126,3569,4757,4639,4691,4925,5273,4731,3748,3610,3941,3979,4126,3569,4757,4639,4691,4925,5273,4731,3748,3610,3941,3979,448,387,516,504,509,535,572,513,407,392,428,432,0,0,51989,51989,5643,2017
3016,3661,N,,Weber,PacifiCorp,14354,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
3017,3665,N,,Bountiful City,City of Bountiful,2010,UT,MTN,WECC,,22,1,Electric Utility,GT,DFO,DFO,,,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
3018,3665,N,,Bountiful City,City of Bountiful,2010,UT,MTN,WECC,,22,1,Electric Utility,GT,NG,NG,,,mcf,28073,15476,12737,12448,13704,19499,27708,32617,19205,10954,12900,21433,28073,15476,12737,12448,13704,19499,27708,32617,19205,10954,12900,21433,1,1,1,1,1,1,1,1,1,1,1,1,26669,14702,12100,11826,13019,18524,26323,30986,18245,10406,12255,20361,26669,14702,12100,11826,13019,18524,26323,30986,18245,10406,12255,20361,2449,1350,1111,1086,1196,1701,2417,2846,1676,956,1125,1870,226754,226754,215416,215416,19783,2017
3019,3666,N,,Brigham City,Brigham City Corporation,2220,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8014,6931,9239,9010,9111,9566,10241,9188,7279,7011,7655,7729,8014,6931,9239,9010,9111,9566,10241,9188,7279,7011,7655,7729,870,752,1003,978,989,1038,1112,997,790,761,831,839,0,0,100974,100974,10960,2017
3020,3675,N,,Hydro III,City of Logan - (UT),11135,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423,3826,5099,4973,5029,5280,5652,5071,4017,3869,4225,4266,4423,3826,5099,4973,5029,5280,5652,5071,4017,3869,4225,4266,480,415,553,540,546,573,614,550,436,420,459,463,0,0,55730,55730,6049,2017
3021,3676,N,,Manti Upper,City of Manti - (UT),11588,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,326,435,424,429,450,482,433,343,330,360,364,377,326,435,424,429,450,482,433,343,330,360,364,41,35,47,46,47,49,52,47,37,36,39,39,0,0,4753,4753,516,2017
3022,3688,N,,Bartholomew,City of Springville - (UT),17845,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2358,2039,2718,2650,2680,2814,3013,2703,2141,2062,2252,2274,2358,2039,2718,2650,2680,2814,3013,2703,2141,2062,2252,2274,256,221,295,288,291,305,327,293,232,224,244,247,0,0,29704,29704,3224,2017
3023,3691,N,,Spanish Fork,Strawberry Water Users Assn,18205,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9404,8133,10840,10572,10691,11225,12017,10781,8541,8226,8982,9069,9404,8133,10840,10572,10691,11225,12017,10781,8541,8226,8982,9069,1021,883,1177,1147,1160,1218,1304,1170,927,893,975,984,0,0,118481,118481,12860,2017
3024,3697,N,,Gateway,Weber Basin Water Conserv Dist,20255,UT,MTN,WECC,,22,1,Electric Utility,HY,WAT,HYC,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8395,7260,9677,9437,9543,10020,10727,9624,7624,7343,8018,8096,8395,7260,9677,9437,9543,10020,10727,9624,7624,7343,8018,8096,911,788,1050,1024,1036,1088,1164,1045,828,797,870,879,0,0,105764,105764,11480,2017
