YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION for ELECTRICITY
1990,AK,Total Electric Power Industry,Coal,404871
1990,AK,Total Electric Power Industry,Petroleum,961837
1990,AK,Total Electric Power Industry,Natural Gas,42764948
1990,AK,"Electric Generators, Electric Utilities",Coal,290182
1990,AK,"Electric Generators, Electric Utilities",Petroleum,657706
1990,AK,"Electric Generators, Electric Utilities",Natural Gas,34366142
1990,AK,"Combined Heat and Power, Commercial Power",Coal,114689
1990,AK,"Combined Heat and Power, Commercial Power",Petroleum,112409
1990,AK,"Combined Heat and Power, Industrial Power",Petroleum,191722
1990,AK,"Combined Heat and Power, Industrial Power",Natural Gas,8398806
1990,AL,Total Electric Power Industry,Coal,22242353
1990,AL,Total Electric Power Industry,Petroleum,249875
1990,AL,Total Electric Power Industry,Natural Gas,10401790
1990,AL,Total Electric Power Industry,Other Gases (Billion BTU),3473
1990,AL,"Electric Generators, Electric Utilities",Coal,22010160
1990,AL,"Electric Generators, Electric Utilities",Petroleum,132744
1990,AL,"Electric Generators, Electric Utilities",Natural Gas,4090291
1990,AL,"Combined Heat and Power, Electric Power",Coal,16681
1990,AL,"Combined Heat and Power, Electric Power",Natural Gas,320132
1990,AL,"Combined Heat and Power, Industrial Power",Coal,215512
1990,AL,"Combined Heat and Power, Industrial Power",Petroleum,117131
1990,AL,"Combined Heat and Power, Industrial Power",Natural Gas,5991367
1990,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),3473
1990,AR,Total Electric Power Industry,Coal,11864395
1990,AR,Total Electric Power Industry,Petroleum,169098
1990,AR,Total Electric Power Industry,Natural Gas,47846352
1990,AR,"Electric Generators, Electric Utilities",Coal,11835959
1990,AR,"Electric Generators, Electric Utilities",Petroleum,154987
1990,AR,"Electric Generators, Electric Utilities",Natural Gas,32090488
1990,AR,"Combined Heat and Power, Commercial Power",Petroleum,3131
1990,AR,"Combined Heat and Power, Commercial Power",Natural Gas,311753
1990,AR,"Combined Heat and Power, Industrial Power",Coal,28436
1990,AR,"Combined Heat and Power, Industrial Power",Petroleum,10980
1990,AR,"Combined Heat and Power, Industrial Power",Natural Gas,15444111
1990,AZ,Total Electric Power Industry,Coal,15898916
1990,AZ,Total Electric Power Industry,Petroleum,258220
1990,AZ,Total Electric Power Industry,Natural Gas,24942405
1990,AZ,"Electric Generators, Electric Utilities",Coal,15758367
1990,AZ,"Electric Generators, Electric Utilities",Petroleum,210097
1990,AZ,"Electric Generators, Electric Utilities",Natural Gas,24277944
1990,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2661
1990,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,292670
1990,AZ,"Combined Heat and Power, Industrial Power",Coal,140549
1990,AZ,"Combined Heat and Power, Industrial Power",Petroleum,45462
1990,AZ,"Combined Heat and Power, Industrial Power",Natural Gas,371791
1990,CA,Total Electric Power Industry,Coal,1251133
1990,CA,Total Electric Power Industry,Petroleum,9288962
1990,CA,Total Electric Power Industry,Natural Gas,667785646
1990,CA,Total Electric Power Industry,Other Gases (Billion BTU),14375
1990,CA,"Electric Generators, Electric Utilities",Petroleum,7357836
1990,CA,"Electric Generators, Electric Utilities",Natural Gas,456405669
1990,CA,"Electric Generators, Independent Power Producers",Coal,90140
1990,CA,"Electric Generators, Independent Power Producers",Petroleum,878400
1990,CA,"Electric Generators, Independent Power Producers",Natural Gas,4355000
1990,CA,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),4
1990,CA,"Combined Heat and Power, Electric Power",Coal,759452
1990,CA,"Combined Heat and Power, Electric Power",Petroleum,15634
1990,CA,"Combined Heat and Power, Electric Power",Natural Gas,118481772
1990,CA,"Combined Heat and Power, Commercial Power",Petroleum,17555
1990,CA,"Combined Heat and Power, Commercial Power",Natural Gas,11789203
1990,CA,"Combined Heat and Power, Commercial Power",Other Gases (Billion BTU),1231
1990,CA,"Combined Heat and Power, Industrial Power",Coal,401541
1990,CA,"Combined Heat and Power, Industrial Power",Petroleum,1019537
1990,CA,"Combined Heat and Power, Industrial Power",Natural Gas,76754002
1990,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),13140
1990,CO,Total Electric Power Industry,Coal,16019294
1990,CO,Total Electric Power Industry,Petroleum,54167
1990,CO,Total Electric Power Industry,Natural Gas,12401451
1990,CO,"Electric Generators, Electric Utilities",Coal,15923695
1990,CO,"Electric Generators, Electric Utilities",Petroleum,49935
1990,CO,"Electric Generators, Electric Utilities",Natural Gas,5485414
1990,CO,"Electric Generators, Independent Power Producers",Natural Gas,1214000
1990,CO,"Combined Heat and Power, Electric Power",Coal,95599
1990,CO,"Combined Heat and Power, Electric Power",Natural Gas,5123445
1990,CO,"Combined Heat and Power, Industrial Power",Petroleum,4232
1990,CO,"Combined Heat and Power, Industrial Power",Natural Gas,578592
1990,CT,Total Electric Power Industry,Coal,1455002
1990,CT,Total Electric Power Industry,Petroleum,14515654
1990,CT,Total Electric Power Industry,Natural Gas,11201180
1990,CT,Total Electric Power Industry,Other Gases (Billion BTU),0
1990,CT,"Electric Generators, Electric Utilities",Coal,957657
1990,CT,"Electric Generators, Electric Utilities",Petroleum,14090189
1990,CT,"Electric Generators, Electric Utilities",Natural Gas,4842691
1990,CT,"Combined Heat and Power, Electric Power",Coal,497345
1990,CT,"Combined Heat and Power, Electric Power",Petroleum,64767
1990,CT,"Combined Heat and Power, Electric Power",Natural Gas,5443480
