Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions
151,McClure,CA,ELECTRIC POWER,1,GT,NG,GAS,1468604,0,28349,28349,0,27538,Mcf,1658.4165,1504.505579
151,McClure,CA,ELECTRIC POWER,1,GT,DFO,PET,1577396,0,28105,28105,0,4824,Barrels,2266.66825,2056.307947
228,Contra Costa,CA,ELECTRIC POWER,2,ST,NG,GAS,26324000,0,374059,374059,0,363510,Mcf,21882.4515,19851.62977
246,Humboldt Bay,CA,ELECTRIC POWER,1,IC,NG,GAS,354213623,0,3182645,3182645,0,3083919,Mcf,186184.7325,168905.6813
246,Humboldt Bay,CA,ELECTRIC POWER,1,IC,DFO,PET,3825377,0,34456,34456,0,5983,Barrels,2778.8764,2520.980132
259,Dynegy Morro Bay LLC,CA,ELECTRIC POWER,2,ST,NG,GAS,85819000,0,888699,888699,0,865455,Mcf,51988.8915,47164.01297
260,Dynegy Moss Landing Power Plant,CA,ELECTRIC POWER,2,CT,NG,GAS,4663164000,0,33526461,33526461,0,32737874,Mcf,1961297.969,1779277.845
260,Dynegy Moss Landing Power Plant,CA,ELECTRIC POWER,2,ST,NG,GAS,381446000,0,3970805,3970805,0,3868171,Mcf,232292.0925,210734.0039
271,Pittsburg Power,CA,ELECTRIC POWER,2,ST,NG,GAS,116829000,0,1576703,1576703,0,1522130,Mcf,92237.1255,83676.97133
286,Geysers Unit 5-20,CA,ELECTRIC POWER,2,ST,GEO,GEO,4784939000,0,16326212,45653103,0,0,,135506.1708,122930.3917
301,El Cajon,CA,ELECTRIC POWER,2,GT,NG,GAS,695000,0,13443,13443,0,13130,Mcf,786.4155,713.4314615
302,Encina,CA,ELECTRIC POWER,2,GT,NG,GAS,2245000,0,38426,38426,0,37536,Mcf,2247.921,2039.300553
302,Encina,CA,ELECTRIC POWER,2,ST,NG,GAS,481570000,0,6223440,6223440,0,6078936,Mcf,364071.24,330283.2623
303,Kearny,CA,ELECTRIC POWER,2,GT,NG,GAS,16118000,0,252495,252495,0,246576,Mcf,14770.9575,13400.12474
305,Miramar,CA,ELECTRIC POWER,2,GT,NG,GAS,2560000,0,43756,43756,0,42732,Mcf,2559.726,2322.168194
315,AES Alamitos LLC,CA,ELECTRIC POWER,2,ST,NG,GAS,1528931000,0,16558706,16558706,0,16123384,Mcf,968684.301,878784.633
329,Coolwater,CA,ELECTRIC POWER,2,CA,NG,GAS,95136000,0,226014,226014,0,218707,Mcf,13221.819,11994.75551
329,Coolwater,CA,ELECTRIC POWER,2,CT,NG,GAS,165309000,0,2681219,2681219,0,2593861,Mcf,156851.3115,142294.5763
329,Coolwater,CA,ELECTRIC POWER,2,ST,NG,GAS,5126000,0,118675,118675,0,114913,Mcf,6942.4875,6298.183344
330,El Segundo Power,CA,ELECTRIC POWER,2,ST,NG,GAS,498698000,0,6048692,6048692,0,5883387,Mcf,353848.482,321009.237
331,Etiwanda Generating Station,CA,ELECTRIC POWER,2,ST,NG,GAS,257256000,0,3532941,3532941,0,3454295,Mcf,206677.0485,187496.1884
335,AES Huntington Beach LLC,CA,ELECTRIC POWER,2,ST,NG,GAS,851663000,0,9166610,9166610,0,8884855,Mcf,536246.685,486479.8013
341,Long Beach Generation LLC,CA,ELECTRIC POWER,2,GT,NG,GAS,24435000,0,395074,395074,0,385875,Mcf,23111.829,20966.91373
345,Mandalay,CA,ELECTRIC POWER,2,GT,NG,GAS,1738000,0,69877,69877,0,67349,Mcf,4087.8045,3708.431915
345,Mandalay,CA,ELECTRIC POWER,2,ST,NG,GAS,216327000,0,2548749,2548749,0,2449842,Mcf,149101.8165,135264.2806
350,Ormond Beach,CA,ELECTRIC POWER,2,ST,NG,GAS,573943000,0,6131939,6131939,0,5937883,Mcf,358718.4315,325427.2263
356,AES Redondo Beach LLC,CA,ELECTRIC POWER,2,ST,NG,GAS,299638000,0,3693661,3693661,0,3606668,Mcf,216079.1685,196025.7357
358,Mountainview Generating Station,CA,ELECTRIC POWER,1,CA,NG,GAS,2118393000,0,1143499,1143499,0,1121077,Mcf,66894.6915,60686.46603
358,Mountainview Generating Station,CA,ELECTRIC POWER,1,CT,NG,GAS,3399949000,0,39477468,39477468,0,38703400,Mcf,2309431.878,2095102.856
377,Grayson,CA,ELECTRIC POWER,1,CA,NG,GAS,10214000,0,0,0,0,0,Mcf,0,0
377,Grayson,CA,ELECTRIC POWER,1,CT,NG,GAS,6765000,0,119773,119773,0,116658,Mcf,7006.7205,6356.455139
377,Grayson,CA,ELECTRIC POWER,1,GT,NG,GAS,11493000,0,135477,135477,0,131881,Mcf,7925.4045,7189.879797
377,Grayson,CA,ELECTRIC POWER,1,ST,NG,GAS,63252093,0,944124,944124,0,920137,Mcf,55231.254,50105.46494
389,El Centro,CA,ELECTRIC POWER,1,CA,NG,GAS,340331000,0,0,0,0,0,Mcf,0,0
389,El Centro,CA,ELECTRIC POWER,1,CT,NG,GAS,754280000,0,9045261,9045261,0,8842539,Mcf,529147.7685,480039.7065
389,El Centro,CA,ELECTRIC POWER,1,ST,NG,GAS,91515000,0,1199505,1199505,0,1173967,Mcf,70171.0425,63658.75215
399,Harbor,CA,ELECTRIC POWER,1,CA,NG,GAS,23203000,0,271342,271342,0,264695,Mcf,15873.507,14400.35108
399,Harbor,CA,ELECTRIC POWER,1,CT,NG,GAS,54870000,0,714794,714794,0,697302,Mcf,41815.449,37934.72648
399,Harbor,CA,ELECTRIC POWER,1,GT,NG,GAS,51387000,0,549622,549622,0,535768,Mcf,32152.887,29168.90774
400,Haynes,CA,ELECTRIC POWER,1,CA,NG,GAS,1068055000,0,573535,573535,0,559357,Mcf,33551.7975,30437.99102
400,Haynes,CA,ELECTRIC POWER,1,CT,NG,GAS,1801079000,0,20360846,20360846,0,19853676,Mcf,1191109.491,1080567.442
400,Haynes,CA,ELECTRIC POWER,1,GT,NG,GAS,169374000,0,1599255,1599255,0,1556122,Mcf,93556.4175,84873.82518
400,Haynes,CA,ELECTRIC POWER,1,ST,NG,GAS,603510000,0,7054799,7054799,0,6880317,Mcf,412705.7415,374404.1926
404,Scattergood,CA,ELECTRIC POWER,1,ST,NG,GAS,1084888045,0,12749155,12749155,0,12397743,Mcf,745825.5675,676608.5163
408,Valley (CA),CA,ELECTRIC POWER,1,CA,NG,GAS,333753000,0,59707,59707,0,58231,Mcf,3492.8595,3168.701352
408,Valley (CA),CA,ELECTRIC POWER,1,CT,NG,GAS,587354000,0,6833480,6833480,0,6667098,Mcf,399758.58,362658.6047
408,Valley (CA),CA,ELECTRIC POWER,1,GT,NG,GAS,5814000,0,70556,70556,0,68757,Mcf,4127.526,3744.467023
420,Broadway (CA),CA,ELECTRIC POWER,1,ST,NG,GAS,44901000,0,505922,505922,0,491291,Mcf,29596.437,26849.71151
422,Glenarm,CA,ELECTRIC POWER,1,GT,NG,GAS,53597000,0,622418,622418,0,591090,Mcf,36411.453,33032.25347
510,Sonoma California Geothermal,CA,ELECTRIC POWER,2,ST,GEO,GEO,332408000,0,1134176,3171504,0,0,,9413.565192,8539.93032
535,McClellan (CA),CA,ELECTRIC POWER,1,GT,NG,GAS,3251000,0,42593,42593,0,41758,Mcf,2491.6905,2260.446793
902,Bottle Rock Power,CA,ELECTRIC POWER,2,ST,GEO,GEO,72876000,0,248653,695310,0,0,,2063.798034,1872.265294
4256,Walnut,CA,ELECTRIC POWER,1,GT,NG,GAS,-110000,0,8024,8024,0,7753,Mcf,469.404,425.8405153
6060,Coachella,CA,ELECTRIC POWER,1,GT,NG,GAS,1022812,0,16969,16969,0,16635,Mcf,992.6865,900.5592851
6060,Coachella,CA,ELECTRIC POWER,1,GT,DFO,PET,11188,0,186,186,0,32,Barrels,15.0009,13.60872721
6211,Dynegy Oakland Power Plant,CA,ELECTRIC POWER,2,GT,JF,PET,2996000,0,40744,40744,0,7307,Barrels,3184.1436,2888.636124
6518,Kings Beach,CA,ELECTRIC POWER,1,IC,DFO,PET,83000,0,1237,1237,0,212,Barrels,99.76405,90.50535244
6704,Pebbly Beach,CA,ELECTRIC POWER,1,IC,DFO,PET,26648000,0,272861,272861,0,47456,Barrels,22006.23965,19963.92965
7231,Gianera,CA,ELECTRIC POWER,1,GT,NG,GAS,952000,0,14832,14832,0,13484,Mcf,867.672,787.1468747
7232,Santa Clara Cogen,CA,ELECTRIC POWER,1,GT,NG,GAS,49592000,0,810805,810805,0,789490,Mcf,47432.0925,43030.11204
