Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions
2485,South Cairo,NY,ELECTRIC POWER,1,GT,KER,PET,5000,0,790,790,0,141,Barrels,62.963,57.1196589
2487,West Coxsackie,NY,ELECTRIC POWER,1,GT,NG,GAS,400000,0,6279,6279,0,6097,Mcf,367.3215,333.2318788
2490,Arthur Kill Generating Station,NY,ELECTRIC POWER,2,GT,NG,GAS,832000,0,16712,16712,0,16225,Mcf,977.652,886.9200762
2490,Arthur Kill Generating Station,NY,ELECTRIC POWER,2,ST,NG,GAS,1355427000,0,14922430,14922430,0,14039860,Mcf,872962.155,791946.0718
2493,East River,NY,ELECTRIC POWER,1,GT,NG,GAS,2439997000,0,26755986,26755986,0,26005207,Mcf,1565225.181,1419962.969
2493,East River,NY,ELECTRIC POWER,1,ST,NG,GAS,716104277,0,9051604,9051604,0,8797935,Mcf,529518.834,480376.3349
2493,East River,NY,ELECTRIC POWER,1,ST,RFO,PET,26193723,0,375059,375059,0,59885,Barrels,32573.87415,29550.82478
2494,Gowanus Gas Turbines Generating,NY,ELECTRIC POWER,2,GT,NG,GAS,45087482,0,809764,809764,0,761465,Mcf,47371.194,42974.86528
2494,Gowanus Gas Turbines Generating,NY,ELECTRIC POWER,2,GT,DFO,PET,8763518,0,153896,153896,0,26520,Barrels,12411.7124,11259.83162
2496,Hudson Avenue,NY,ELECTRIC POWER,1,GT,KER,PET,809000,0,13757,13757,0,2442,Barrels,1096.4329,994.6774018
2499,Narrows Gas Turbines Generating,NY,ELECTRIC POWER,2,GT,NG,GAS,116425783,0,1949042,1949042,0,1855763,Mcf,114018.957,103437.3192
2499,Narrows Gas Turbines Generating,NY,ELECTRIC POWER,2,GT,DFO,PET,7458217,0,116616,116616,0,20051,Barrels,9405.0804,8532.232967
2500,Ravenswood,NY,ELECTRIC POWER,2,CA,NG,GAS,455129146,0,0,0,0,0,Mcf,0,0
2500,Ravenswood,NY,ELECTRIC POWER,2,CA,KER,PET,36854,0,0,0,0,0,Barrels,0,0
2500,Ravenswood,NY,ELECTRIC POWER,2,CT,NG,GAS,1015937087,0,10928484,10928484,0,10573596,Mcf,639316.314,579983.9554
2500,Ravenswood,NY,ELECTRIC POWER,2,CT,KER,PET,87913,0,928,928,0,170,Barrels,73.9616,67.09752336
2500,Ravenswood,NY,ELECTRIC POWER,2,GT,NG,GAS,27513000,0,471722,471722,0,457365,Mcf,27595.737,25034.68838
2500,Ravenswood,NY,ELECTRIC POWER,2,ST,NG,GAS,1556664925,0,17485477,17485477,0,16943495,Mcf,1022900.405,927969.1595
2500,Ravenswood,NY,ELECTRIC POWER,2,ST,RFO,PET,84698075,0,949993,949993,0,152003,Barrels,82506.89205,74849.76145
2503,59th Street,NY,ELECTRIC POWER,1,GT,KER,PET,402000,0,6470,6470,0,1148,Barrels,515.659,467.802776
2504,74th Street,NY,ELECTRIC POWER,1,GT,KER,PET,181000,0,2571,2571,0,457,Barrels,204.9087,185.8919532
2511,E F Barrett,NY,ELECTRIC POWER,1,GT,NG,GAS,128654630,0,2095253,2095253,0,2034329,Mcf,122572.3005,111196.8616
2511,E F Barrett,NY,ELECTRIC POWER,1,GT,DFO,PET,381370,0,6062,6062,0,1064,Barrels,488.9003,443.5274426
2511,E F Barrett,NY,ELECTRIC POWER,1,ST,NG,GAS,1012805212,0,11376255,11376255,0,11032520,Mcf,665510.9175,603747.5438
2511,E F Barrett,NY,ELECTRIC POWER,1,ST,RFO,PET,12668788,0,142812,142812,0,22702,Barrels,12403.2222,11252.12937
2512,East Hampton,NY,ELECTRIC POWER,1,GT,DFO,PET,7042000,0,97077,97077,0,16801,Barrels,7829.26005,7102.658124
2512,East Hampton,NY,ELECTRIC POWER,1,IC,DFO,PET,1842000,0,21187,21187,0,3667,Barrels,1708.73155,1550.151093
2514,Glenwood,NY,ELECTRIC POWER,1,GT,DFO,PET,2597000,0,44395,44395,0,7793,Barrels,3580.45675,3248.169056
2514,Glenwood,NY,ELECTRIC POWER,1,ST,NG,GAS,-454000,0,0,0,0,0,Mcf,0,0
2516,Northport,NY,ELECTRIC POWER,1,GT,DFO,PET,80000,0,3832,3832,0,674,Barrels,309.0508,280.3690465
2516,Northport,NY,ELECTRIC POWER,1,ST,NG,GAS,2981506493,0,31654365,31654365,0,30807143,Mcf,1851780.353,1679924.115
2516,Northport,NY,ELECTRIC POWER,1,ST,RFO,PET,212619507,0,2236347,2236347,0,350426,Barrels,194226.737,176201.3399
2517,Port Jefferson,NY,ELECTRIC POWER,1,GT,NG,GAS,143581163,0,1539209,1539209,0,1502452,Mcf,90043.7265,81687.13281
2517,Port Jefferson,NY,ELECTRIC POWER,1,GT,DFO,PET,351837,0,3813,3813,0,669,Barrels,307.51845,278.9789077
2517,Port Jefferson,NY,ELECTRIC POWER,1,ST,NG,GAS,333121793,0,3967692,3967692,0,3862602,Mcf,232109.982,210568.7943
2517,Port Jefferson,NY,ELECTRIC POWER,1,ST,RFO,PET,12886207,0,167475,167475,0,26260,Barrels,14545.20375,13195.32228
2518,Shoreham,NY,ELECTRIC POWER,1,GT,DFO,PET,3066000,0,50941,50941,0,8816,Barrels,4108.39165,3727.108455
2519,South Hampton,NY,ELECTRIC POWER,1,GT,DFO,PET,1744000,0,49193,49193,0,8514,Barrels,3967.41545,3599.215685
2520,Southold,NY,ELECTRIC POWER,1,GT,DFO,PET,1624000,0,35868,35868,0,6208,Barrels,2892.7542,2624.289395
2521,West Babylon,NY,ELECTRIC POWER,1,GT,DFO,PET,2254000,0,34177,34177,0,5915,Barrels,2756.37505,2500.567042
2528,Harris Lake,NY,ELECTRIC POWER,1,IC,DFO,PET,98980,0,396,396,0,67,Barrels,31.9374,28.97341921
2535,Cayuga Operating Company,NY,ELECTRIC POWER,2,ST,BIT,COAL,799342854,0,9070115,9070115,0,378278,Tons,932407.822,845874.8272
2535,Cayuga Operating Company,NY,ELECTRIC POWER,2,ST,DFO,PET,5267146,0,61215,61215,0,10575,Barrels,4936.98975,4478.80772
2539,Bethlehem Energy Center,NY,ELECTRIC POWER,2,CA,NG,GAS,1278265000,0,11071,11071,0,10757,Mcf,647.6535,587.5474009
2539,Bethlehem Energy Center,NY,ELECTRIC POWER,2,CT,NG,GAS,2673445000,0,27962670,27962670,0,27185251,Mcf,1635816.195,1484002.717
2549,C R Huntley Generating Station,NY,ELECTRIC POWER,2,ST,SUB,COAL,1069543098,0,11657854,11657854,0,664109,Tons,1248556.163,1132682.721
2549,C R Huntley Generating Station,NY,ELECTRIC POWER,2,ST,DFO,PET,5030902,0,55674,55674,0,9436,Barrels,4490.1081,4073.399347
2554,Dunkirk Generating Plant,NY,ELECTRIC POWER,2,ST,SUB,COAL,439183468,0,5122408,5122408,0,294002,Tons,548609.8968,497695.6335
2554,Dunkirk Generating Plant,NY,ELECTRIC POWER,2,ST,DFO,PET,930532,0,10740,10740,0,1852,Barrels,866.181,785.7942484
