Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions
9,Copper,TX,ELECTRIC POWER,1,GT,NG,GAS,37561000,0,631566,631566,0,619790,Mcf,36946.611,33517.74562
127,Oklaunion,TX,ELECTRIC POWER,1,ST,SUB,COAL,3961281931,0,40817969,40817969,0,2400022,Tons,4371604.48,3965893.568
127,Oklaunion,TX,ELECTRIC POWER,1,ST,DFO,PET,5885069,0,60495,60495,0,10525,Barrels,4878.92175,4426.128776
298,Limestone,TX,ELECTRIC POWER,2,ST,LIG,COAL,6576019242,0,67642059,67642059,0,5105736,Tons,7285049.754,6608953.782
298,Limestone,TX,ELECTRIC POWER,2,ST,SUB,COAL,6275725185,0,64525025,64525025,0,3876867,Tons,6910630.178,6269282.571
298,Limestone,TX,ELECTRIC POWER,2,ST,NG,GAS,20286573,0,208906,208906,0,207960,Mcf,12221.001,11086.81938
3439,Laredo,TX,ELECTRIC POWER,2,GT,NG,GAS,203677000,0,2097834,2097834,0,1997936,Mcf,122723.289,111333.8374
3441,Nueces Bay,TX,ELECTRIC POWER,2,CA,NG,GAS,23357000,0,295721,295721,0,286372,Mcf,17299.6785,15694.16538
3441,Nueces Bay,TX,ELECTRIC POWER,2,CT,NG,GAS,2128531000,0,16478849,16478849,0,15960996,Mcf,964012.6665,874546.554
3443,Victoria,TX,ELECTRIC POWER,2,CA,NG,GAS,257424000,0,19125,19125,0,18568,Mcf,1118.8125,1014.980042
3443,Victoria,TX,ELECTRIC POWER,2,CT,NG,GAS,531538000,0,6397995,6397995,0,6212172,Mcf,374282.7075,339547.0448
3452,Lake Hubbard,TX,ELECTRIC POWER,2,ST,NG,GAS,256741112,0,3256445,3256445,0,3241802,Mcf,190502.0325,172822.3102
3452,Lake Hubbard,TX,ELECTRIC POWER,2,ST,DFO,PET,7961888,0,110339,110339,0,19024,Barrels,8898.84035,8072.975007
3453,Mountain Creek,TX,ELECTRIC POWER,2,ST,NG,GAS,285131000,0,3436353,3436353,0,3471063,Mcf,201026.6505,182370.181
3456,Newman,TX,ELECTRIC POWER,1,CA,NG,GAS,785491450,0,0,0,0,0,Mcf,0,0
3456,Newman,TX,ELECTRIC POWER,1,CT,NG,GAS,1435101420,0,19078657,19078657,0,18704567,Mcf,1116101.435,1012520.579
