Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
151,McClure,CA,ELECTRIC POWER,1,GT,NG,GAS,2271624,0,37729,37729,0,36174,Mcf,2207,2002,WECC,BANC,Balancing Authority of Northern California,California
151,McClure,CA,ELECTRIC POWER,1,GT,DFO,PET,2005376,0,33308,33308,0,5718,Barrels,2686,2437,WECC,BANC,Balancing Authority of Northern California,California
246,Humboldt Bay,CA,ELECTRIC POWER,1,IC,NG,GAS,428528491,0,3817287,3817287,0,3669635,Mcf,223310,202585,WECC,CISO,California Independent System Operator,California
246,Humboldt Bay,CA,ELECTRIC POWER,1,IC,DFO,PET,3053509,0,27090,27090,0,4704,Barrels,2185,1982,WECC,CISO,California Independent System Operator,California
260,Dynegy Moss Landing Power Plant,CA,ELECTRIC POWER,2,CA,NG,GAS,818984000,0,0,0,0,0,Mcf,0,0,WECC,CISO,California Independent System Operator,California
260,Dynegy Moss Landing Power Plant,CA,ELECTRIC POWER,2,CT,NG,GAS,1525654000,0,16822659,16822659,0,16173363,Mcf,984119,892787,WECC,CISO,California Independent System Operator,California
286,Geysers Unit 5-20,CA,ELECTRIC POWER,2,ST,GEO,GEO,4667659000,0,15926053,43003142,0,0,,135352,122791,WECC,CISO,California Independent System Operator,California
302,Encina,CA,ELECTRIC POWER,2,GT,NG,GAS,3061000,0,52275,52275,0,50311,Mcf,3058,2774,WECC,CISO,California Independent System Operator,California
302,Encina,CA,ELECTRIC POWER,2,ST,NG,GAS,465941000,0,6440133,6440133,0,6198444,Mcf,376745,341781,WECC,CISO,California Independent System Operator,California
303,Kearny,CA,ELECTRIC POWER,2,GT,NG,GAS,8474000,0,111774,111774,0,107476,Mcf,6539,5932,WECC,CISO,California Independent System Operator,California
315,AES Alamitos LLC,CA,ELECTRIC POWER,2,ST,NG,GAS,855083000,0,10070588,10070588,0,9781317,Mcf,589125,534451,WECC,CISO,California Independent System Operator,California
331,Etiwanda Generating Station,CA,ELECTRIC POWER,2,ST,NG,GAS,132953000,0,1673324,1673324,0,1621724,Mcf,97889,88804,WECC,CISO,California Independent System Operator,California
335,AES Huntington Beach LLC,CA,ELECTRIC POWER,2,ST,NG,GAS,408970000,0,4579360,4579360,0,4423907,Mcf,267891,243029,WECC,CISO,California Independent System Operator,California
341,Long Beach Generation LLC,CA,ELECTRIC POWER,2,GT,NG,GAS,32383000,0,537920,537920,0,527373,Mcf,31468,28548,WECC,CISO,California Independent System Operator,California
345,Mandalay,CA,ELECTRIC POWER,2,GT,NG,GAS,15374000,0,313104,313104,0,300715,Mcf,18316,16617,WECC,CISO,California Independent System Operator,California
345,Mandalay,CA,ELECTRIC POWER,2,ST,NG,GAS,136579000,0,1472755,1472755,0,1418966,Mcf,86156,78160,WECC,CISO,California Independent System Operator,California
