Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
2480,Danskammer Generating Station,NY,ELECTRIC POWER,2,IC,DFO,PET,0,0,1531,1531,0,260,Barrels,123,112,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2480,Danskammer Generating Station,NY,ELECTRIC POWER,2,ST,NG,GAS,8948000,0,104268,104268,0,102224,Mcf,6100,5534,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2485,South Cairo,NY,ELECTRIC POWER,1,GT,KER,PET,59000,0,935,935,0,167,Barrels,75,68,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2487,West Coxsackie,NY,ELECTRIC POWER,1,GT,NG,GAS,405000,0,5439,5439,0,5287,Mcf,318,289,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2490,Arthur Kill Generating Station,NY,ELECTRIC POWER,2,GT,NG,GAS,361000,0,8223,8223,0,7984,Mcf,481,436,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2490,Arthur Kill Generating Station,NY,ELECTRIC POWER,2,ST,NG,GAS,826757000,0,9323565,9323565,0,9052004,Mcf,545425,494806,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2493,East River,NY,ELECTRIC POWER,1,GT,NG,GAS,2454710084,3136835,26821466,19692295,7129171,25719242,Mcf,1569045,1423428,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2493,East River,NY,ELECTRIC POWER,1,GT,DFO,PET,461916,501,4838,3699,1139,848,Barrels,390,354,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2493,East River,NY,ELECTRIC POWER,1,ST,NG,GAS,614265344,1262527,7828250,4958871,2869379,7520339,Mcf,457949,415449,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2493,East River,NY,ELECTRIC POWER,1,ST,RFO,PET,23622656,63909,335978,190729,145249,54277,Barrels,29180,26472,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
2494,Gowanus Gas Turbines Generating,NY,ELECTRIC POWER,2,GT,NG,GAS,4945133,0,89178,89178,0,85750,Mcf,5217,4733,NPCC,NYIS,New York Independent System Operator,New York Independent System Operator
