Plant Code,Plant Name,State,Sector Group,Sector Code,Prime Mover,Fuel Code,Aggregated Fuel Group,Generation (kWh),Useful Thermal Output (MMBtu),Total Fuel Consumption (MMBtu),Fuel Consumption for Electric Generation (MMBtu),"
 Fuel Consumption for Useful Thermal Output (MMBtu)",Quantity of Fuel Consumed,Fuel Units,Tons of CO2 Emissions,Metric Tonnes of CO2 Emissions,NERC Region,Balancing Authority Code,Balancing Authority Name,EIA Balancing Authority Region
9,Copper,TX,ELECTRIC POWER,1,GT,NG,GAS,"18,913,000",0,"357,035","357,035",0,"341,985",Mcf,"20,886","18,948",WECC,EPE,El Paso Electric Company,Southwest
127,Oklaunion,TX,ELECTRIC POWER,1,ST,SUB,COAL,"1,662,534,957",0,"18,196,090","18,196,090",0,"1,048,227",Tons,"1,949,612","1,768,676",TRE,SWPP,Southwest Power Pool,Central
127,Oklaunion,TX,ELECTRIC POWER,1,ST,DFO,PET,"6,668,043",0,"73,473","73,473",0,"12,676",Barrels,"5,925","5,375",TRE,SWPP,Southwest Power Pool,Central
298,Limestone,TX,ELECTRIC POWER,2,ST,LIG,COAL,"1,334,298,867",0,"14,483,473","14,483,473",0,"1,061,994",Tons,"1,559,808","1,415,048",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
298,Limestone,TX,ELECTRIC POWER,2,ST,SUB,COAL,"7,791,686,793",0,"85,266,332","85,266,332",0,"4,972,893",Tons,"9,135,821","8,287,963",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
298,Limestone,TX,ELECTRIC POWER,2,ST,NG,GAS,"73,380,340",0,"805,777","805,777",0,"793,297",Mcf,"47,138","42,763",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3439,Laredo,TX,ELECTRIC POWER,2,GT,NG,GAS,"111,766,000",0,"1,104,872","1,104,872",0,"1,052,259",Mcf,"64,635","58,636",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3441,Nueces Bay,TX,ELECTRIC POWER,2,CA,NG,GAS,"61,040,000",0,"554,634","554,634",0,"538,059",Mcf,"32,446","29,435",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3441,Nueces Bay,TX,ELECTRIC POWER,2,CT,NG,GAS,"1,061,845,000",0,"7,938,622","7,938,622",0,"7,693,887",Mcf,"464,406","421,306",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3443,Victoria,TX,ELECTRIC POWER,2,CA,NG,GAS,"198,219,000",0,"120,090","120,090",0,"116,611",Mcf,"7,025","6,373",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
3443,Victoria,TX,ELECTRIC POWER,2,CT,NG,GAS,"354,708,000",0,"4,230,273","4,230,273",0,"4,112,015",Mcf,"247,469","224,503",TRE,ERCO,"Electric Reliability Council of Texas, Inc.","Electric Reliability Council of Texas, Inc."
