Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
55983,Luminant Generation Company LLC,3502,Lake Creek,TX,McLennan,D1,Petroleum Liquids,IC,,W,X,X,,,2.00,0.8,2,2,2,N, , ,RE,X,8,1966,12,2014,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,
55983,Luminant Generation Company LLC,3502,Lake Creek,TX,McLennan,D2,Petroleum Liquids,IC,,W,X,X,,,2.00,0.8,2,2,2,N, , ,RE,X,8,1966,12,2014,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,
55983,Luminant Generation Company LLC,3502,Lake Creek,TX,McLennan,D3,Petroleum Liquids,IC,,W,X,X,,,2.00,0.8,2,2,2,N, , ,RE,X,8,1966,12,2014,N,IPP Non-CHP,2,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,
20230,Weatherford Mun Utility System,3624,Weatherford,TX,Parker,1,Petroleum Liquids,IC,,S,X,X,,,0.30,0.8,0.1,0.2,0.1,N, , ,RE,X,6,1940,12,2017,N,Electric Utility,1,X,DFO,,,,,,DFO,,,,N,N, ,12H,,,,,,,,N,N,N
20230,Weatherford Mun Utility System,3624,Weatherford,TX,Parker,2,Petroleum Liquids,IC,,S,X,X,,,0.30,0.8,0.1,0.2,0.1,N, , ,RE,X,6,1940,12,2017,N,Electric Utility,1,X,DFO,,,,,,DFO,,,,N,N, ,12H,,,,,,,,N,N,N
20230,Weatherford Mun Utility System,3624,Weatherford,TX,Parker,3,Petroleum Liquids,IC,,S,X,X,,,0.30,0.8,0.1,0.2,0.1,N, , ,RE,X,6,1940,12,2017,N,Electric Utility,1,X,DFO,,,,,,DFO,,,,N,N, ,12H,,,,,,,,N,N,N
20230,Weatherford Mun Utility System,3624,Weatherford,TX,Parker,4,Petroleum Liquids,IC,,S,X,X,,,0.80,0.8,0.6,0.7,0.1,N, , ,RE,X,9,1945,12,2017,N,Electric Utility,1,X,DFO,,,,,,DFO,,,,N,N, ,12H,,,,,,,,N,N,N
20230,Weatherford Mun Utility System,3624,Weatherford,TX,Parker,6,Petroleum Liquids,IC,,S,X,X,,,1.40,0.8,1.2,1.3,0.2,N, , ,RE,X,12,1948,12,2017,N,Electric Utility,1,X,DFO,,,,,,DFO,,,,N,N, ,12H,,,,,,,,N,N,N
20230,Weatherford Mun Utility System,3624,Weatherford,TX,Parker,7,Petroleum Liquids,IC,,S,X,X,,,1.30,0.8,1.1,1.2,0.2,N, , ,RE,X,2,1953,12,2017,N,Electric Utility,1,X,DFO,NG,,,,,DFO,,,,N,N, ,12H,,,,,,,,Y,N,N
20230,Weatherford Mun Utility System,3624,Weatherford,TX,Parker,8,Petroleum Liquids,IC,,S,X,X,,,1.30,0.8,1.1,1.2,0.2,N, , ,RE,X,2,1953,12,2017,N,Electric Utility,1,X,DFO,NG,,,,,DFO,,,,N,N, ,12H,,,,,,,,Y,N,N
56772,"TX LFG Energy, LP",55556,Security,TX,Montgomery,UNT1,Landfill Gas,IC,,S,X,X,,,1.30, ,1.7,1.7, ,, , ,RE,X,12,2003,7,2004,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,, ,,,,,,,,,N,,
56772,"TX LFG Energy, LP",55555,Conroe,TX,Montgomery,UNT1,Landfill Gas,IC,,S,X,X,,,1.00, ,1,1, ,, , ,RE,X,8,2003,4,2012,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,, ,,,,,,,,,,,
56772,"TX LFG Energy, LP",55555,Conroe,TX,Montgomery,UNT2,Landfill Gas,IC,,S,X,X,,,1.00, ,1,1, ,, , ,RE,X,8,2003,4,2012,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,, ,,,,,,,,,,,
56772,"TX LFG Energy, LP",55555,Conroe,TX,Montgomery,UNT3,Landfill Gas,IC,,S,X,X,,,1.00, ,1,1, ,, , ,RE,X,8,2003,4,2012,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,, ,,,,,,,,,,,
56772,"TX LFG Energy, LP",55551,Baytown,TX,Chambers,UNT1,Landfill Gas,IC,,S,X,X,,,1.00,0.8,1,1,0.2,N, , ,RE,X,12,2003,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
56772,"TX LFG Energy, LP",55551,Baytown,TX,Chambers,UNT2,Landfill Gas,IC,,S,X,X,,,1.00,0.8,1,1,0.2,N, , ,RE,X,12,2003,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
56772,"TX LFG Energy, LP",55551,Baytown,TX,Chambers,UNT3,Landfill Gas,IC,,S,X,X,,,1.00,0.8,1,1,0.2,N, , ,RE,X,12,2003,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
56772,"TX LFG Energy, LP",55551,Baytown,TX,Chambers,UNT4,Landfill Gas,IC,,S,X,X,,,1.00,0.8,1,1,0.2,N, , ,RE,X,12,2003,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
56772,"TX LFG Energy, LP",55552,Bluebonnet,TX,Harris,UNT1,Landfill Gas,IC,,S,X,X,,,1.00,0.8,1,1,0.2,N, , ,RE,X,8,2003,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
56772,"TX LFG Energy, LP",55552,Bluebonnet,TX,Harris,UNT2,Landfill Gas,IC,,S,X,X,,,1.00,0.8,1,1,0.2,N, , ,RE,X,8,2003,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
56772,"TX LFG Energy, LP",55552,Bluebonnet,TX,Harris,UNT3,Landfill Gas,IC,,S,X,X,,,1.00,0.8,1,1,0.2,N, , ,RE,X,8,2003,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
56772,"TX LFG Energy, LP",55552,Bluebonnet,TX,Harris,UNT4,Landfill Gas,IC,,S,X,X,,,1.00,0.8,1,1,0.2,N, , ,RE,X,8,2003,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,N, ,12H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55588,GRS Sunset Farms,TX,Travis,1,Landfill Gas,IC,,S,X,X,,,1.00,0.98,0.9,0.9,0.8,N, , ,RE,X,12,1996,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55588,GRS Sunset Farms,TX,Travis,2,Landfill Gas,IC,,S,X,X,,,1.00,0.98,0.9,0.9,0.8,N, , ,RE,X,12,1996,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55588,GRS Sunset Farms,TX,Travis,3,Landfill Gas,IC,,S,X,X,,,1.00,0.98,0.9,0.9,0.8,N, , ,RE,X,12,1996,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55588,GRS Sunset Farms,TX,Travis,4,Landfill Gas,IC,,S,X,X,,,1.00,0.98,0.9,0.9,0.8,N, , ,RE,X,1,2004,4,2016,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,N,,
56772,"TX LFG Energy, LP",55551,Baytown,TX,Chambers,UN5,Landfill Gas,IC,,S,X,X,,,1.30, ,1,1, ,, , ,IP,X, , , , ,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,N,, ,,,,,,,,,N,,
55983,Luminant Generation Company LLC,52071,Sandow No 5,TX,Milam,GEN1,Conventional Steam Coal,ST,,S,X,X,,,121.00, ,121,124, ,, , ,RE,X,12,1953,12,2006,N,IPP Non-CHP,2,X,LIG,DFO,NG,,,,,,,,N,, ,,,,,,,,,,,
55983,Luminant Generation Company LLC,52071,Sandow No 5,TX,Milam,GEN2,Conventional Steam Coal,ST,,S,X,X,,,121.00, ,121,124, ,, , ,RE,X,2,1954,12,2006,N,IPP Non-CHP,2,X,LIG,DFO,NG,,,,,,,,N,, ,,,,,,,,,,,
55983,Luminant Generation Company LLC,52071,Sandow No 5,TX,Milam,GEN3,Conventional Steam Coal,ST,,S,X,X,,,121.00, ,121,124, ,, , ,RE,X,7,1954,12,2006,N,IPP Non-CHP,2,X,LIG,DFO,NG,,,,,,,,N,, ,,,,,,,,,,,
55983,Luminant Generation Company LLC,6180,Oak Grove (TX),TX,Robertson,1,Conventional Steam Coal,ST,,S,X,X,,,800.80, ,750, ,756,, , ,IP,X, , , , ,N,IPP Non-CHP,2,X,LIG,NG,,,,,,,,,N,, ,,,,,,,,,,,
55983,Luminant Generation Company LLC,6180,Oak Grove (TX),TX,Robertson,2,Conventional Steam Coal,ST,,S,X,X,,,800.80, ,750, ,743,, , ,IP,X, , , , ,N,IPP Non-CHP,2,X,LIG,NG,,,,,,,,,N,, ,,,,,,,,,,,
56598,"Major Oak Power, LLC",7030,Major Oak Power,TX,Robertson,3,Conventional Steam Coal,ST,,S,X,X,,,600.00, ,600,600, ,, , ,CN,X, , , , ,N,IPP Non-CHP,2,X,LIG,,,,,,,,,,,, ,,,,,,,,,,Y,
59875,Olin Blue Cube Operations,52120,Freeport Energy,TX,Brazoria,G-32,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,50.00, ,50,50, ,N, , ,RE,X,12,1952,1,1995,Y,Industrial CHP,7,,NG,,,,,,,,,,,, ,,,,,,,,,,,
57160,DuPont Sabine River Works,10789,Sabine River Works,TX,Orange,GEN2,Natural Gas Fired Combined Cycle,CA,,S,N,X,EES.CONC,EES.CONC,3.10, ,2.5,2.5, ,, , ,RE,X,1,1948,1,1996,Y,Industrial CHP,7,,NG,,,,,,,,,,N,, ,,,,,,,,,N,,
50114,"WTG Jameson, L.P.",55052,Jameson Gas Processing Plant,TX,Coke,623,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.50, ,0.5,0.5, ,N, , ,RE,X,1,1986,12,1999,N,Industrial Non-CHP,6,X,NG,,,,,,,,,,N,N, ,10M,,,,,,,,,,
59875,Olin Blue Cube Operations,52120,Freeport Energy,TX,Brazoria,G-41,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,50.00, ,50,50, ,N, , ,RE,X,5,1958,6,2000,Y,Industrial CHP,7,,NG,,,,,,,,,,,, ,,,,,,,,,,,
59366,"EnLink Midstream Services, LLC",55053,Bridgeport Gas Processing Plant,TX,Wise,324,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.30,0.8,0.3,0.3, ,N, , ,RE,X,1,1958,7,2000,N,Industrial Non-CHP,6,X,NG,,,,,,,,,,N,N, ,,,,,,,,,N,,
59366,"EnLink Midstream Services, LLC",55053,Bridgeport Gas Processing Plant,TX,Wise,325,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,0.30,0.8,0.3,0.3, ,N, , ,RE,X,1,1958,6,2000,N,Industrial Non-CHP,6,X,NG,,,,,,,,,,N,, ,1H,,,,,,,,N,,
